timestamp,category,app_id,game_name,ccu
2026-02-09T16:32:26.013215+00:00,live_service,252490,Rust,178347
2026-02-09T16:32:26.013215+00:00,live_service,230410,Warframe,65027
2026-02-09T16:32:26.013215+00:00,live_service,1599340,Lost Ark,9649
2026-02-09T16:32:26.013215+00:00,war_politics_adjacent,1938090,Call of Duty HQ,39247
2026-02-09T16:32:26.013215+00:00,war_politics_adjacent,393380,Squad,12270
2026-02-09T16:32:26.013215+00:00,war_politics_adjacent,107410,Arma 3,8231
2026-02-09T16:32:26.013215+00:00,war_politics_adjacent,394360,Hearts of Iron IV,42362
2026-02-09T16:32:26.013215+00:00,control,413150,Stardew Valley,70998
2026-02-09T16:32:26.013215+00:00,control,105600,Terraria,127207
2026-02-09T16:32:26.013215+00:00,control,1145360,Hades,3628
2026-02-09T16:32:26.013215+00:00,control,1086940,Baldur's Gate 3,50464
2026-02-09T16:32:26.013215+00:00,new_releases_hype,1808500,ARC Raiders,159290
2026-02-09T16:32:26.013215+00:00,new_releases_hype,2767030,Marvel Rivals,59715
2026-02-09T17:46:44.191953+00:00,giants,730,CS2,1416451
2026-02-09T17:46:44.191953+00:00,giants,570,Dota 2,735723
2026-02-09T17:46:44.191953+00:00,giants,578080,PUBG,293089
2026-02-09T17:46:44.191953+00:00,giants,1172470,Apex Legends,69502
2026-02-09T17:46:44.191953+00:00,giants,271590,GTA V,104166
2026-02-09T17:46:44.191953+00:00,live_service,1085660,Destiny 2,10230
2026-02-09T17:46:44.191953+00:00,live_service,252490,Rust,184123
2026-02-09T17:46:44.191953+00:00,live_service,230410,Warframe,62286
2026-02-09T17:46:44.191953+00:00,live_service,1599340,Lost Ark,10356
2026-02-09T17:46:44.191953+00:00,war_politics_adjacent,1938090,Call of Duty HQ,43788
2026-02-09T17:46:44.191953+00:00,war_politics_adjacent,393380,Squad,12779
2026-02-09T17:46:44.191953+00:00,war_politics_adjacent,107410,Arma 3,8926
2026-02-09T17:46:44.191953+00:00,war_politics_adjacent,394360,Hearts of Iron IV,41496
2026-02-09T17:46:44.191953+00:00,control,413150,Stardew Valley,61256
2026-02-09T17:46:44.191953+00:00,control,105600,Terraria,123989
2026-02-09T17:46:44.191953+00:00,control,1145360,Hades,3668
2026-02-09T17:46:44.191953+00:00,control,1086940,Baldur's Gate 3,54508
2026-02-09T17:46:44.191953+00:00,new_releases_hype,1808500,ARC Raiders,189296
2026-02-09T17:46:44.191953+00:00,new_releases_hype,2767030,Marvel Rivals,68355
2026-02-09T19:49:28.664753+00:00,giants,730,CS2,1419235
2026-02-09T19:49:28.664753+00:00,giants,570,Dota 2,696197
2026-02-09T19:49:28.664753+00:00,giants,578080,PUBG,222494
2026-02-09T19:49:28.664753+00:00,giants,1172470,Apex Legends,58008
2026-02-09T19:49:28.664753+00:00,giants,271590,GTA V,93211
2026-02-09T19:49:28.664753+00:00,live_service,1085660,Destiny 2,11459
2026-02-09T19:49:28.664753+00:00,live_service,252490,Rust,170098
2026-02-09T19:49:28.664753+00:00,live_service,230410,Warframe,59637
2026-02-09T19:49:28.664753+00:00,live_service,1599340,Lost Ark,10502
2026-02-09T19:49:28.664753+00:00,war_politics_adjacent,1938090,Call of Duty HQ,46552
2026-02-09T19:49:28.664753+00:00,war_politics_adjacent,393380,Squad,12666
2026-02-09T19:49:28.664753+00:00,war_politics_adjacent,107410,Arma 3,9866
2026-02-09T19:49:28.664753+00:00,war_politics_adjacent,394360,Hearts of Iron IV,39595
2026-02-09T19:49:28.664753+00:00,control,413150,Stardew Valley,57100
2026-02-09T19:49:28.664753+00:00,control,105600,Terraria,119609
2026-02-09T19:49:28.664753+00:00,control,1145360,Hades,3733
2026-02-09T19:49:28.664753+00:00,control,1086940,Baldur's Gate 3,64451
2026-02-09T19:49:28.664753+00:00,new_releases_hype,1808500,ARC Raiders,228826
2026-02-09T19:49:28.664753+00:00,new_releases_hype,2767030,Marvel Rivals,83728
2026-02-09T20:31:22.933586+00:00,giants,730,CS2,1367346
2026-02-09T20:31:22.933586+00:00,giants,570,Dota 2,668120
2026-02-09T20:31:22.933586+00:00,giants,578080,PUBG,199149
2026-02-09T20:31:22.933586+00:00,giants,1172470,Apex Legends,54670
2026-02-09T20:31:22.933586+00:00,giants,271590,GTA V,87753
2026-02-09T20:31:22.933586+00:00,live_service,1085660,Destiny 2,11734
2026-02-09T20:31:22.933586+00:00,live_service,252490,Rust,163712
2026-02-09T20:31:22.933586+00:00,live_service,230410,Warframe,58612
2026-02-09T20:31:22.933586+00:00,live_service,1599340,Lost Ark,10412
2026-02-09T20:31:22.933586+00:00,war_politics_adjacent,1938090,Call of Duty HQ,47049
2026-02-09T20:31:22.933586+00:00,war_politics_adjacent,393380,Squad,11869
2026-02-09T20:31:22.933586+00:00,war_politics_adjacent,107410,Arma 3,9863
2026-02-09T20:31:22.933586+00:00,war_politics_adjacent,394360,Hearts of Iron IV,38124
2026-02-09T20:31:22.933586+00:00,control,413150,Stardew Valley,56273
2026-02-09T20:31:22.933586+00:00,control,105600,Terraria,115866
2026-02-09T20:31:22.933586+00:00,control,1145360,Hades,3782
2026-02-09T20:31:22.933586+00:00,control,1086940,Baldur's Gate 3,67356
2026-02-09T20:31:22.933586+00:00,new_releases_hype,1808500,ARC Raiders,237791
2026-02-09T20:31:22.933586+00:00,new_releases_hype,2767030,Marvel Rivals,86763
